Release date,Title,Author,Price,Total sales (current month),Publisher
2022/07/10,Lost and Found [VertiComix](78),[author]TingFeng,0.6,1,[publisher]KUAIKAN
2022/07/10,Lost and Found [VertiComix](79),[author]TingFeng,0.6,1,[publisher]KUAIKAN
2022/07/03,Ogus’s Law [VertiComix](104),[author]Syball,0.3,3,[publisher]KUAIKAN
2022/07/03,Ogus’s Law [VertiComix](105),[author]Syball,0.3,3,[publisher]KUAIKAN
2022/07/03,Ogus’s Law [VertiComix](106),[author]Syball,0.3,3,[publisher]KUAIKAN
2022/07/03,Ogus’s Law [VertiComix](107),[author]Syball,0.3,3,[publisher]KUAIKAN
2022/07/03,Ogus’s Law [VertiComix](108),[author]Syball,0.3,3,[publisher]KUAIKAN
2022/07/10,Ogus’s Law [VertiComix](109),[author]Syball,0.3,3,[publisher]KUAIKAN
2022/07/10,Ogus’s Law [VertiComix](110),[author]Syball,0.3,3,[publisher]KUAIKAN
2022/07/10,Ogus’s Law [VertiComix](111),[author]Syball,0.3,3,[publisher]KUAIKAN
2022/07/10,Ogus’s Law [VertiComix](112),[author]Syball,0.3,3,[publisher]KUAIKAN
2022/07/10,Ogus’s Law [VertiComix](113),[author]Syball,0.3,3,[publisher]KUAIKAN
2022/07/14,Private Devil Puppy [VertiComix](114),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/07/14,Private Devil Puppy [VertiComix](115),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/07/14,Private Devil Puppy [VertiComix](116),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/07/14,Private Devil Puppy [VertiComix](117),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/07/14,Private Devil Puppy [VertiComix](118),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/09/05,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](42),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,2,[publisher]KUAIKAN
2022/09/05,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](43),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/05,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](44),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/05,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](45),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/07/01,A Sheep in Wolf Clothing [VertiComix](44),[author]Heiquan : Baidian,0.6,1,[publisher]KUAIKAN
2022/07/01,A Sheep in Wolf Clothing [VertiComix](45),[author]Heiquan : Baidian,0.6,1,[publisher]KUAIKAN
2022/07/01,A Sheep in Wolf Clothing [VertiComix](46),[author]Heiquan : Baidian,0.6,1,[publisher]KUAIKAN
2022/07/01,A Sheep in Wolf Clothing [VertiComix](47),[author]Heiquan : Baidian,0.6,1,[publisher]KUAIKAN
2022/07/01,A Sheep in Wolf Clothing [VertiComix](48),[author]Heiquan : Baidian,0.6,1,[publisher]KUAIKAN
2022/07/08,A Sheep in Wolf Clothing [VertiComix](49),[author]Heiquan : Baidian,0.6,1,[publisher]KUAIKAN
2022/07/08,A Sheep in Wolf Clothing [VertiComix](50),[author]Heiquan : Baidian,0.6,1,[publisher]KUAIKAN
2022/07/08,A Sheep in Wolf Clothing [VertiComix](51),[author]Heiquan : Baidian,0.6,1,[publisher]KUAIKAN
2022/09/05,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](46),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/12,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](47),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/12,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](48),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/12,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](49),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/12,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](50),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/12,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](51),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/19,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](52),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
